Gene;Swissprot;Mercator;NST_FT_FPKM;NST_75_FPKM;NST_55_FPKM;NST_35_FPKM;NST_AD_FPKM;NST_RH_FPKM
Xvis03_214580; Casein kinase I homolog hhp1 ;protein-postranslational modification;6.01;4.86;4.51;8.11;5.89;5.03
Xvis03_214581;NA;not assigned-unknown;0.03;0.91;1.28;0.1;0.09;0
Xvis03_214585;NA;not assigned-unknown;2.34;1.87;1.28;0.42;0.32;2.97
Xvis03_214588;NA;not assigned-unknown;0.46;1.02;0.5;0.78;0.72;0.77
Xvis03_214590; Vesicle_fusing ATPase ;protein-degradation;3.89;8.2;7.58;8.97;12.33;5.04
Xvis03_214591;NA;protein-degradation;3.89;8.2;7.58;8.97;12.33;5.04
Xvis03_214592; Uncharacterized protein At4g29660 ;not assigned-unknown;19.43;20.14;27.39;55.55;50.38;21.25
Xvis03_214596; Chaperone protein DnaJ 2 ;not assigned-unknown;2.37;4.9;1.15;1.42;1.78;0.39
Xvis03_214597; Protein RALF_like 19 ;signalling-misc;0;0;0;0;0;0
Xvis03_214598; Early nodulin_like protein 1 ;misc-plastocyanin_like;2.58;0.72;4.67;2.21;3.27;8.6
Xvis03_214601; Heat stress transcription factor C_2a ;stress-abiotic;2.71;145.9;250.14;173.07;135.21;1.1
Xvis03_214602; HemK methyltransferase family member 2 ;not assigned-unknown;2.7;4.1;6.59;8.33;7.43;2.61
Xvis03_214604; Serine/threonine_protein phosphatase 5 ;protein-postranslational modification;0.41;0.65;1.33;0.23;3.42;0
Xvis03_214605; Ras_related protein RABB1c ;signalling-G_proteins;9.92;20.7;29.97;23.9;29.55;7.32
Xvis03_214606; Urease accessory protein F ;N_metabolism-misc;0.38;0.35;0.48;0.22;0.78;0.48
Xvis03_214607;NA;not assigned-no ontology;0.32;0.05;0;0;0;0
Xvis03_214608; BES1/BZR1 homolog protein 4 ;hormone metabolism-brassinosteroid;1.66;1.51;1.24;5.63;2.84;2.29
Xvis03_214609;NA;not assigned-unknown;5.32;3.83;5.48;4.73;4.45;6.82
Xvis03_214610; IRK_interacting protein ;not assigned-unknown;0.13;0.06;0.13;0.82;0.43;0.52
Xvis03_214611; NHL repeat_containing protein 2 ;not assigned-no ontology;0.74;0.33;0.11;0.07;0.05;1.28
Xvis03_214613; Putative pentatricopeptide repeat_containing protein At1g53330 ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;0.29;0.18;0.08;0.07;0.05;0.85
Xvis03_214614; Uncharacterized protein C9E9.15 ;signalling-light;8.71;1.48;0.39;0.38;0.42;7.71
Xvis03_214615; Ras_related protein RIC2 ;signalling-G_proteins;13.17;21.64;21.09;13.37;13.41;13.12
Xvis03_214616; WD repeat_containing protein 53 ;signalling-G_proteins;1.75;6.95;17.54;8.2;7.73;0.87
Xvis03_214617; Enoyl_CoA delta isomerase 3 ;lipid metabolism-lipid degradation;1.07;2.31;2.86;1.28;1.02;0.76
Xvis03_214619; Shaggy_related protein kinase iota ;hormone metabolism-brassinosteroid;0.36;0.28;0.75;0.15;0.69;1.36
Xvis03_214622; CBL_interacting serine/threonine_protein kinase 12 ;protein-postranslational modification;3.11;4.78;7.38;5.14;6.02;4.14
Xvis03_214624; Tubby_like F_box protein 7 ;protein-degradation;1.24;1.23;1.35;0.7;0.31;3.39
Xvis03_214625;NA;not assigned-unknown;5.57;0;0;0.17;0;11.92
Xvis03_214626; Peptide_N4_(N_acetyl_beta_glucosaminyl)asparagine amidase A ;protein-glycosylation;1.57;0.9;1.11;0.95;0.56;11.25
Xvis03_214628; Phosphoenolpyruvate carboxylase 2 ;glycolysis-cytosolic branch;0;0;0.52;0;0.93;0
Xvis03_214630; Putative lipase YOR059C ;not assigned-no ontology;7.02;1.7;0.65;1.21;1.41;3.24
Xvis03_214632;NA;not assigned-unknown;14.2;6.22;5.75;3.24;3.2;14.88
Xvis03_214633; Ubiquitin_conjugating enzyme E2 35 ;not assigned-unknown;5.58;4.3;0;0;0;0
Xvis03_214634; Polyadenylate_binding protein_interacting protein 9 ;not assigned-unknown;1.07;0.14;0.09;0.02;0;0.43
Xvis03_214636; Soluble starch synthase 1, chloroplastic/amyloplastic ;redox;3.91;3.32;7.57;8.61;6.23;9.13
Xvis03_214638; Uncharacterized protein At4g10930 ;not assigned-unknown;1.85;1.38;0.12;0.08;0.09;0.63
Xvis03_214640; Phosphatidylinositol 4_kinase gamma 4 ;protein-degradation;8.42;12.45;20.46;19.89;13.22;14.29
Xvis03_214642; Probable pectinesterase/pectinesterase inhibitor 34 ;cell wall-modification;7.03;0.63;0.19;0.77;0.24;34.95
Xvis03_214643; Mitochondrial import inner membrane translocase subunit TIM44_2 ;protein-targeting;6.15;6.46;5.88;8.06;6.92;3.59
Xvis03_214644; Dynamin_related protein 5A ;misc-dynamin;0.64;0.51;0.37;0.18;0.45;0.3
Xvis03_214645;NA;not assigned-unknown;0;0.02;0.07;0;0.11;0.31
Xvis03_214646;NA;not assigned-unknown;0.07;0.36;0.89;0.13;0.15;0
Xvis03_214647; Protein TSS ;not assigned-no ontology-tetratricopeptide repeat (TPR);41.1;53.96;50.75;101.23;122.48;30.24
Xvis03_214650; 60S ribosomal protein L37a ;protein-synthesis-ribosome biogenesis;37.3;101.42;75.36;22.81;28.97;93.94
Xvis03_214651; 30S ribosomal protein S20, chloroplastic ;protein-synthesis;75.4;205.62;268.29;155.84;140.69;219.33
Xvis03_214652; Putative ubiquitin_conjugating enzyme E2 38 ;protein-degradation;7.69;0.81;0.85;1.14;1.08;5.18
Xvis03_214653; Probable ubiquitin_conjugating enzyme E2 25 ;protein-degradation;11.2;4.65;2.09;1.04;0.63;10.1
Xvis03_214654;NA;not assigned-unknown;2.94;5.28;6.89;9.98;10.39;5.16
Xvis03_214655; Protein kinase 2B, chloroplastic ;protein-postranslational modification;9.27;47.67;13.3;2.02;3.05;0.84
Xvis03_214657; Probable aquaporin TIP2_2 ;transport-Major Intrinsic Proteins-TIP;119.22;128.21;83.27;61.17;42.26;67.54
Xvis03_214658; Probable lactoylglutathione lyase, chloroplast ;Biodegradation of Xenobiotics;26.8;32.65;26.94;29.03;30.6;28.62
Xvis03_214659; VAN3_binding protein ;not assigned-unknown;0.1;0.11;0.13;0.25;0.37;0.44
Xvis03_214660; Casein kinase I isoform delta_like ;protein-postranslational modification;24.9;20.95;23.1;31.09;28.88;27.13
Xvis03_214662; Ribosome maturation protein SBDS ;protein-synthesis;3.57;6.37;2.59;4.98;3.61;2.13
Xvis03_214663;NA;protein-synthesis;0.11;0.17;0.13;0.17;0.1;0.08
Xvis03_214664;NA;not assigned-no ontology;0;0.03;0;0;0.14;0
Xvis03_214665;NA;not assigned-unknown;1.29;0.13;0.22;0.07;0.05;2.06
Xvis03_214666; Transcriptional corepressor SEUSS ;RNA-regulation of transcription;1.29;0.13;0.22;0.07;0.05;2.06
Xvis03_214669; Phosphatidylinositol 4_kinase beta 1 ;signalling-phosphinositides;2.88;2.56;2.41;5.01;4.88;2.8
Xvis03_214670; Phosphatidylinositol 4_kinase beta 1 ;signalling-phosphinositides;0.33;0.2;0.19;0.49;0.38;0.28
Xvis03_214672; Probable glucuronosyltransferase Os03g0107900 ;misc-UDP glucosyl and glucoronyl transferases;0.57;0.33;0.04;0.06;0.14;0.4
Xvis03_214673; Chlorophyll a_b binding protein CP29.2, chloroplastic ;photosynthesis-lightreaction;34.6;10.94;4.56;14.08;3.09;571.81
Xvis03_214674; Protein transport protein SEC13 homolog B ;protein-targeting;1.09;1.56;0.55;1.72;1.1;1.4
Xvis03_214675; Protein transport protein SEC13 homolog A ;protein-targeting;1.09;1.56;0.55;1.72;1.1;1.4
Xvis03_214677;NA;not assigned-unknown;0.01;0.03;0.01;0.01;0;1.3
Xvis03_204669; Methylesterase 18 ;;410.48;20.91;7.42;1.36;0.99;108.29
Xvis03_214687;NA;not assigned-unknown;2.79;0.8;0.48;0.31;0.2;0.92
Xvis03_214688; Uncharacterized protein slp1 ;not assigned-unknown;2.4;13.62;25.65;22.73;20.78;1.21
Xvis03_214689; Spliceosome_associated protein 49 ;RNA-RNA binding;41.23;62.52;56.89;58.46;50.99;24.03
Xvis03_214690;NA;not assigned-unknown;1.63;2.9;3.33;1.33;1.41;5.86
Xvis03_214691; Probable RNA_binding protein ARP1 ;RNA-RNA binding;2.69;7.03;5.25;5.84;4.24;2.78
Xvis03_214692;NA;not assigned-unknown;3.78;4.63;3.81;1.74;2.19;3.32
Xvis03_214693; Probable beta_1,3_galactosyltransferase 8 ;protein-glycosylation;0.46;0.64;0.95;1.25;1.82;0.52
Xvis03_214694; PHD finger protein At1g33420 ;RNA-regulation of transcription;34.7;22.34;19.55;9.35;6.99;17.03
Xvis03_214699; Cytochrome c ;mitochondrial electron transport / ATP synthesis;1.97;5.44;11.24;2.34;7.27;3.29
Xvis03_214703; Glucuronoxylan 4_O_methyltransferase 1 ;cell-cell wall;2.47;1.54;1.01;1.6;1.04;11.92
Xvis03_214704;NA;not assigned-unknown;35.36;92.01;121.31;99.64;89.68;80.86
Xvis03_214705; COX assembly mitochondrial protein 2 homolog ;not assigned-unknown;6.23;13.42;11.33;6.04;7.76;7.22
Xvis03_214707; E3 ubiquitin_protein ligase CHIP ;protein-degradation-ubiquitin-E3;18.72;3.69;1.25;0.69;0.61;21.58
Xvis03_214708; Protein FEZ ;development-unspecified;20.83;5.52;3.76;0.93;0.84;8.67
Xvis03_214709; Uncharacterized protein YacP ;not assigned-unknown;17.56;20.24;21.93;28.3;22.11;32.82
Xvis03_214710; N_acylphosphatidylethanolamine synthase ;misc-acyl transferases;2.72;3.87;3.49;1.93;1.21;4.17
Xvis03_214711; Ubiquitin_like_conjugating enzyme ATG10 ;protein-degradation;15.1;7.93;6.56;5.81;5.31;19.53
Xvis03_214712; LOB domain_containing protein 6 ;RNA-regulation of transcription;0.25;0.03;0.3;0.1;0;1.57
Xvis03_214717; 50S ribosomal protein L18 ;protein-synthesis;10.2;8.84;8.07;5.19;3.97;7.7
Xvis03_214718; Polygalacturonase ;cell wall-degradation;0;0.02;0.19;0.04;0.16;0
Xvis03_214719;NA;not assigned-unknown;0;0;0;0;0;0
Xvis03_214720; Acyl_coenzyme A thioesterase 9, mitochondrial ;not assigned-no ontology;29.71;46.63;49.34;38.59;37.54;37.61
Xvis03_214721;NA;misc-cytochrome P450;29.71;46.63;49.34;38.59;37.54;37.61
Xvis03_214722;NA;not assigned-unknown;9.54;10.21;10.17;8.5;8.62;6.06
Xvis03_214723; Pentatricopeptide repeat_containing protein At3g02650, mitochondrial ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;12.55;15.15;15.78;23.74;21.36;13.16
Xvis03_214724; Ribonuclease 2 ;not assigned-unknown;5582.34;2374.22;1451.58;76.26;38.43;2630.82
Xvis03_214725; Ribonuclease 2 ;not assigned-unknown;1555.94;1321.88;1117.83;204.24;155.99;1841.24
Xvis03_214726; Pentatricopeptide repeat_containing protein At3g53360, mitochondrial ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;11.26;12.82;12.54;10.97;12.92;13.92
Xvis03_214727;NA;not assigned-unknown;11.26;12.82;12.54;10.97;12.92;13.92
Xvis03_214728; Proline__tRNA ligase, cytoplasmic ;protein-aa activation;11.26;12.82;12.54;10.97;12.92;13.92
Xvis03_214729; U_box domain_containing protein 4 ;protein-degradation;1.35;0.73;0.28;0.4;0.39;0.77
Xvis03_214730; Protein FAM126B ;not assigned-unknown;6.79;9.99;9.82;18.28;12.86;13.17
Xvis03_214732; Transportin_1 ;not assigned-unknown;9.65;16.94;19.01;29.89;32.95;14.69
Xvis03_214733; Transportin_1 ;protein-targeting;0.92;1.46;1.27;2.61;2.07;0.76
Xvis03_214738;NA;not assigned-unknown;11.98;6.39;5.57;10.79;14.37;5.12
Xvis03_214740; Myb_related protein 308 ;RNA-regulation of transcription;4.9;1.91;3.07;3.62;3.63;5.1
Xvis03_214741; Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial ;misc-oxidases _ copper, flavone etc;1.76;1.53;2.01;1.88;1.37;1.71
Xvis03_214742;NA;not assigned-unknown;1.76;1.53;2.01;1.88;1.37;1.71
Xvis03_214743; Protein QUIRKY ;not assigned-no ontology-C2 domain_containing protein;2.83;3.39;3.35;6.77;5.14;6.76
Xvis03_214744; Patellin_3 ;protein-targeting;0.74;1.35;1.38;0.98;1.22;0.72
Xvis03_214745; NifU_like protein 2, chloroplastic ;;3.1;6.46;7.42;6.09;6.62;3.31
Xvis03_214747; Universal stress protein Rv3134c ;not assigned-unknown;45.04;0.78;0.62;0.39;0.67;33.92
Xvis03_214750; Metal transporter Nramp5 ;transport-metal;2.29;3.4;4.13;0.4;0.3;0.3
Xvis03_214753; Proteinaceous RNase P 1, chloroplastic/mitochondrial ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;6.58;15.87;18.46;29;25.87;12.18
Xvis03_214754; Myosin heavy chain kinase A ;protein-targeting;4.47;5.62;5.27;11.57;10.15;4.15
Xvis03_214755; Ubinuclein_1 ;not assigned-unknown;4.64;3.01;2.57;3.24;2.83;2.21
Xvis03_214756;NA;not assigned-unknown;2.09;0.26;0.29;0;0;0.26
Xvis03_214760; Ras_related protein RABC1 ;signalling-G_proteins;4.76;24.44;29.12;18.12;21.28;4.88
Xvis03_214763; Premnaspirodiene oxygenase ;misc-cytochrome P450;0;0.06;0;0;0.19;0
Xvis03_214764; Transcriptional corepressor SEUSS ;RNA-regulation of transcription;0.79;0.07;0.05;0.01;0.01;0.86
Xvis03_214766; Phosphatidylinositol 4_kinase beta 1 ;signalling-phosphinositides;1.99;1.8;1.84;2.96;3.74;2.02
Xvis03_214769; Probable glucuronosyltransferase Os03g0107900 ;misc-UDP glucosyl and glucoronyl transferases;2.65;1.31;1.03;1.46;1.3;8.77
Xvis03_214770; Chlorophyll a_b binding protein CP29.2, chloroplastic ;photosynthesis-lightreaction;125.39;28.78;30.17;30.2;19.16;485.92
Xvis03_214771; Protein transport protein SEC13 homolog A ;protein-targeting;1.4;1.25;0.73;0.77;0.45;2.15
Xvis03_214776; UDP_glucuronate:xylan alpha_glucuronosyltransferase 1 ;cell wall-synthesis;0.33;0.34;0.12;0.1;0;0.17
Xvis03_214779; F_box/kelch_repeat protein SKIP30 ;protein-degradation;0.72;0.96;1.12;0.85;1.17;1.17
Xvis03_214780; Prohibitin_2, mitochondrial ;mitochondrial electron transport / ATP synthesis;2.94;3.35;2.98;1.83;1.11;1.25
Xvis03_214781;NA;not assigned-unknown;1.53;6.29;5.38;0.86;2.06;0.76
Xvis03_221785; Protein phosphatase methylesterase 1 ;not assigned-unknown;6.44;14.14;14.33;7.26;6.43;11.39
Xvis03_214783;NA;not assigned-unknown;0.91;0.52;0.43;0.06;0.23;1.8
Xvis03_214784; Uncharacterized protein slp1 ;not assigned-unknown;1.71;12.4;19.09;27.62;36.68;1.03
Xvis03_214785; Spliceosome_associated protein 49 ;RNA-RNA binding;0;0;0;0;0;0
Xvis03_214786;NA;not assigned-unknown;3.33;1.08;1;2.45;2.1;3.31
Xvis03_214787; Zinc finger CCCH domain_containing protein 5 ;RNA-processing;16.62;10.31;4.34;3.64;2.31;6.12
Xvis03_214788;NA;not assigned-unknown;3.97;4.64;3.75;2.25;1.9;4.74
Xvis03_214789; Probable RNA_binding protein ARP1 ;RNA-RNA binding;3.61;11.69;8.88;9.64;11.14;5.08
Xvis03_214790;NA;not assigned-unknown;0.75;0.57;0;0;0;0
Xvis03_214792; Probable beta_1,3_galactosyltransferase 8 ;protein-glycosylation;5.18;6.47;8.36;11.91;9.56;1.96
Xvis03_214793; PHD finger protein At1g33420 ;RNA-regulation of transcription;9.04;6.77;2.77;1.11;1.47;3.47
Xvis03_214796; Far upstream element_binding protein 2 ;RNA-transcription;30.76;24.87;22.3;26.37;23.26;18.8
Xvis03_214797; Cytochrome c ;mitochondrial electron transport / ATP synthesis;10.88;35.94;35.95;21.66;21.54;7.87
Xvis03_214799; Probable serine/threonine_protein kinase At1g09600 ;protein-postranslational modification;0.13;0.14;0.1;0.39;0.69;0.13
Xvis03_214800; U_box domain_containing protein 4 ;protein-degradation;6.05;3;2.03;1.89;1.56;5.51
Xvis03_214801;NA;not assigned-no ontology;15.65;10.35;10.95;8.12;7.52;7.57
Xvis03_214802; NifU_like protein 4, mitochondrial ;;35.11;54.81;72.49;82.68;76.24;34.33
Xvis03_214803; Pleiotropic drug resistance protein 2 ;transport-ABC transporters and multidrug resistance systems;3.24;0.38;0.33;0.25;0.3;0.78
Xvis03_214804; Protein BUD31 homolog 2 ;signalling-receptor kinases;53.3;63.99;76.47;76.04;85.42;59.58
Xvis03_214805; Serine/threonine_protein kinase KIPK ;protein-postranslational modification;12.05;9.8;9.76;7.76;8.2;12.23
Xvis03_214806; Putative glycosyltransferase 3 ;misc-UDP glucosyl and glucoronyl transferases;5.28;3.74;3.95;5.6;7.05;10.91
Xvis03_214807; Putative glycosyltransferase 5 ;misc-UDP glucosyl and glucoronyl transferases;3.9;3.48;4.01;5.81;6.41;17.22
Xvis03_214808; Somatostatin ;not assigned-unknown;8.71;83.94;133.3;16.24;9.33;6.07
Xvis03_214809; Solute carrier family 35 member F2 ;transport;1.32;79.32;115.5;9.81;5.32;1.67
Xvis03_214810;NA;protein-degradation;7.25;9.23;9.4;11.82;10.4;10.32
Xvis03_214811; ACT domain_containing protein ACR12 ;not assigned-unknown;64.22;109.61;107.18;67.98;62.7;41.05
Xvis03_214812; Protein CIA1 ;signalling-G_proteins;18.42;20.6;19.11;19.32;21.66;24.19
Xvis03_214813; Cytochrome b_c1 complex subunit 9 ;not assigned-unknown;38.76;67.36;72.65;26.88;36.63;53.05
Xvis03_214814;NA;not assigned-unknown;14.55;20.73;16.2;5.9;5.22;9.4
Xvis03_214815; Ferredoxin_3, chloroplastic ;photosynthesis-lightreaction;42.04;243.77;307.29;131.7;155.27;33.03
Xvis03_214816; Probable calcium_binding protein CML48 ;not assigned-unknown;9.95;49.05;71.85;96.65;80.47;17.17
Xvis03_214817;NA;not assigned-unknown;29.49;38.49;38.27;21.39;20.56;37.63
Xvis03_214818; Uncharacterized protein At2g27730, mitochondrial ;not assigned-unknown;16.4;11.73;9.22;1.91;2;16.36
Xvis03_214819; Protein FANTASTIC FOUR 1 ;not assigned-unknown;3.44;16.65;21.35;3.15;3.01;0.62
Xvis03_214820;NA;not assigned-unknown;40.44;28.97;24.63;13.76;12.04;38.92
Xvis03_214821; Ubiquitin_60S ribosomal protein L40 ;photosynthesis-lightreaction;133.13;303.56;263.86;114.86;115.33;199.41
Xvis03_214822;NA;protein-targeting;26.22;22.35;20.51;24.4;23.34;25.67
Xvis03_214823;NA;not assigned-unknown;2.66;2.62;4.04;4.79;3.56;6.95
Xvis03_214824; Transcription factor DIVARICATA ;RNA-regulation of transcription;0.13;0.27;0.51;0.7;2.25;0
Xvis03_214825; SNW/SKI_interacting protein ;DNA-synthesis/chromatin structure;19.4;21.77;29.48;69.19;60.52;24.19
Xvis03_214826; Protein YLS9 ;stress-biotic;103.65;37.33;9.62;2.72;1.51;104.82
Xvis03_214827; Apoptosis_inducing factor homolog A ;cell-cell death;0.14;1.03;0.09;0.11;0.74;0
Xvis03_225451; UDP_glycosyltransferase 86A1 ;misc-UDP glucosyl and glucoronyl transferases;69.6;83.9;100.47;85.84;88.97;13.85
Xvis03_214829; Lecithin retinol acyltransferase ;secondary metabolism-flavonoids-anthocyanins;8.95;8.28;10.69;17.03;14.14;27.21
Xvis03_214830; Histone deacetylase 8 ;RNA-regulation of transcription;13.07;10.2;17.72;25.99;13.53;17.98
Xvis03_214833;NA;not assigned-no ontology;0;0;0;0;0.37;0.68
Xvis03_214834; SKP1_interacting partner 15 ;protein-degradation;11.35;7.07;6.82;8.79;6.9;13.75
Xvis03_214835; RING_H2 finger protein ATL79 ;protein-degradation;31.68;3.14;1.39;0.8;1.13;6.18
Xvis03_214836; RING_H2 finger protein ATL73 ;protein-degradation;1.28;1.99;1.28;0.24;0.28;0.03
Xvis03_214837; Cytochrome b_c1 complex subunit 6 ;not assigned-unknown;17.65;41.66;34.91;22.93;22.39;26.67
Xvis03_214838;NA;not assigned-unknown;3.75;3.94;3.01;1.56;1.76;3.75
Xvis03_214839; SUMO_conjugating enzyme SCE1 ;protein-degradation;178.17;137.78;122.97;143.14;134.45;162.97
Xvis03_214840;NA;not assigned-unknown;178.17;137.78;122.97;143.14;134.45;162.97
Xvis03_214841;NA;not assigned-unknown;2.52;2.12;1.63;1.62;1.65;2.48
Xvis03_214842; UPF0496 protein 4 ;not assigned-unknown;21;35.45;32.32;13.02;15.13;17.74
Xvis03_214843; G_box_binding factor 4 ;not assigned-unknown;20;35.61;29.49;21.2;20.3;18.99
Xvis03_214844;NA;not assigned-unknown;20;35.61;29.49;21.2;20.3;18.99
Xvis03_214845; Sterol 3_beta_glucosyltransferase UGT80B1 ;lipid metabolism-exotics (steroids, squalene etc);8.38;20.11;20.7;22.53;21.67;3.78
Xvis03_214846; Probable cellulose synthase A catalytic subunit 9 [UDP_forming] ;cell wall-synthesis;6.92;1.86;0.69;0.53;0.89;3.56
Xvis03_214847; Protein YIPF6 ;not assigned-no ontology;22.82;27.91;32.44;34.06;30.04;40.01
Xvis03_214849; Probable U3 small nucleolar RNA_associated protein 7 ;cell-cycle;9.05;11.76;14.18;26.59;22.7;8.19
Xvis03_214850; Protein LIKE COV 2 ;hormone metabolism-auxin;12.87;11.53;5.59;8.13;6.14;22.89
Xvis03_214851; Protein S_acyltransferase 8 ;RNA-regulation of transcription;8.78;19.12;17.77;22.09;23.58;9.49
Xvis03_214852; Cationic peroxidase SPC4 ;misc-peroxidases;0.51;45.61;7.19;2.4;0.09;1.19
Xvis03_214853; Nicotinate phosphoribosyltransferase 1 ;Co_factor and vitamine metabolism;18.68;15.36;12.06;8;5.96;14.6
Xvis03_214854; Probable serine/threonine_protein kinase At1g01540 ;photosynthesis-lightreaction;1.57;9.83;11.95;5.13;3.66;2.53
Xvis03_214855; PI_PLC X domain_containing protein At5g67130 ;lipid metabolism-lipid degradation;1.15;0.3;0.49;0.5;0.74;6.9
Xvis03_214856; Adenylate kinase 4 ;;5.91;5.73;3.55;1.52;4.77;1.12
Xvis03_214857; Probable receptor_like protein kinase At1g49730 ;signalling-receptor kinases;0.24;0.24;0.07;0.67;0.54;0.1
Xvis03_214858; Paraspeckle component 1 ;not assigned-unknown;16.32;19.68;21.04;17.75;18.18;17.3
Xvis03_214859; Thaumatin_like protein ;stress-biotic;16.32;19.68;21.04;17.75;18.18;17.3
Xvis03_214860;NA;not assigned-unknown;3.94;21.55;26.6;51.65;53.33;3.87
Xvis03_214861; Delta(14)_sterol reductase ;not assigned-unknown;2.37;3.84;3.72;2.67;1.88;3.87
Xvis03_214862; Nucleobase_ascorbate transporter 12 ;transport-misc;0.55;0.03;0;0;0.01;1.36
Xvis03_214863; Polyadenylation and cleavage factor homolog 4 ;RNA-processing;0.75;1.11;1.08;1.95;1.5;0.46
Xvis03_214864; Serine/threonine_protein kinase CTR1 ;protein-postranslational modification;2.31;2.03;1.43;2.51;2.02;2.43
Xvis03_214865;NA;protein-postranslational modification;2.31;2.03;1.43;2.51;2.02;2.43
Xvis03_214867; Fructose_bisphosphate aldolase cytoplasmic isozyme ;glycolysis-cytosolic branch;4.98;5.32;6.35;3.17;5.64;5.23
Xvis03_214868; Host cell factor 1 ;not assigned-no ontology;11.52;7.63;5.88;3.92;2.65;8.29
Xvis03_214869;NA;not assigned-unknown;2.77;2.39;7.52;4.18;4.68;1.64
Xvis03_214870;NA;not assigned-unknown;0.33;0;0;0;0.05;0
Xvis03_214871; Cysteine proteinase inhibitor 6 ;protein-degradation;3.86;14.43;21.61;15.26;20.97;4.29
Xvis03_214872; Cytochrome P450 94A1 ;misc-cytochrome P450;3.5;5.6;5;1.61;1.11;7.01
Xvis03_214873; bZIP transcription factor 17 ;RNA-regulation of transcription;0.13;0.05;0.12;0.18;0.22;0
Xvis03_214875; PHD finger protein ALFIN_LIKE 1 ;RNA-regulation of transcription;7;3.93;1.78;4.28;4.72;7.1
Xvis03_214876;NA;not assigned-unknown;0;0;0;0.16;0;0
Xvis03_214880; Protein YIPF5 ;not assigned-no ontology;4.18;6.19;7.87;12.89;9.87;10.91
Xvis03_214881; Nuclear receptor corepressor 1 ;RNA-regulation of transcription;10.72;13.42;15.18;28.75;28.22;14.28
Xvis03_214882; Pentatricopeptide repeat_containing protein At3g46870 ;not assigned-unknown;7.77;8.61;8.64;6.41;5.39;16.86
Xvis03_214883;NA;not assigned-unknown;0.92;0.06;0;0;0;1.26
Xvis03_214884; L_type lectin_domain containing receptor kinase VIII.1 ;protein-postranslational modification;0.6;0.03;0;0;0;5.18
Xvis03_214885; Pre_mRNA_splicing factor SYF1 ;DNA-repair;18.42;22.53;23.67;33.92;24.85;21.79
Xvis03_214886;NA;not assigned-no ontology;0.1;0.05;0;0;0;0.66
Xvis03_214887; LOB domain_containing protein 1 ;RNA-regulation of transcription;0.1;0.03;0;0.04;0;3.24
Xvis03_214890; Sporulation protein RMD1 ;not assigned-unknown;11.78;24.21;32.31;25.47;27.11;18.6
Xvis03_214891; Two_component response regulator_like PRR73 ;RNA-regulation of transcription;78.05;67.37;102.45;256.56;317.51;41.56
Xvis03_214892; Protein TONNEAU 1a ;cell-organisation;22.81;13.75;11.74;9.31;5.46;17.74
Xvis03_214894; Nitrilase_like protein 2 ;misc-nitrilases;31;25.05;28.51;23.82;28.91;30.71
Xvis03_214895; Nuclear factor related to kappa_B_binding protein ;RNA-regulation of transcription;31;25.05;28.51;23.82;28.91;30.71
Xvis03_214897;NA;not assigned-unknown;22.39;23.18;18.59;12.14;13.3;17.61
Xvis03_214898; Serine/arginine_rich splicing factor RS2Z32 ;RNA-processing;61.2;51.87;43.22;23.8;23.3;40.42
Xvis03_214899; Histone H4 ;DNA-synthesis/chromatin structure;62.66;35.55;50.78;19.82;14.77;40.81
Xvis03_214900; Calcium_transporting ATPase 1, endoplasmic reticulum_type ;transport-calcium;25.38;9.11;10.19;8.34;7.25;30.12
Xvis03_214901; 60S ribosomal protein L35 ;protein-synthesis;42.2;90.68;62.36;40.55;42.35;48.97
Xvis03_214902; Glutathione S_transferase DHAR3, chloroplastic ;redox;7.83;6.54;7.37;11.37;13;10.24
Xvis03_214903; Glutelin type_A 2 ;development-storage proteins;9.72;19.92;23.73;18.76;19.64;9.87
Xvis03_214904; Protein_tyrosine_phosphatase MKP1 ;protein-postranslational modification;10.3;6.12;5.5;6.06;5.03;12.67
Xvis03_214905; UDP_galactose/UDP_glucose transporter 5B ;protein-postranslational modification;6;3.86;3.78;3.94;3.18;6.35
Xvis03_214906; 40S ribosomal protein S15a_1 ;protein-synthesis;29.87;51.76;42.35;39.11;49.57;44.65
Xvis03_214907; Histone H2A ;DNA-synthesis/chromatin structure;0.41;0.27;0.13;0.06;0.05;0.62
Xvis03_214908; Soluble inorganic pyrophosphatase 4 ;;43.1;59.93;35.76;17.78;22.52;11.2
Xvis03_214909; Ras_related protein RABE1c ;stress-abiotic;50.95;36.66;31.97;23.58;23.93;48.38
Xvis03_214910; 2_oxoglutarate dehydrogenase, mitochondrial ;TCA/organic acid transformation;2.04;1.48;0.6;0.35;0.3;0.87
Xvis03_214916; Arginine__tRNA ligase, cytoplasmic ;not assigned-unknown;0.26;0.04;0.05;0;0.04;0.72
Xvis03_214917; Histone H2B.6 ;DNA-synthesis/chromatin structure;251.2;389.24;536.22;587.31;592.05;513.09
Xvis03_214918;NA;RNA-regulation of transcription;17.93;20.07;34.78;102.51;131.47;25.33
Xvis03_214919; Cation/H(+) antiporter 20 ;transport-metal;0.04;0.62;0.21;0.08;0.17;0.12
